,Age_x,G_x,MP_x,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS_x,WS/48_x,Pos,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,OBPM,DBPM,BPM,VORP,Share
0,29,79,34.8,21.7,9.5,1.6,0.5,3.7,0.551,0.0,0.711,12.9,0.226,C,25.8,0.596,0.003,0.492,9.5,21.6,15.9,8.7,0.8,7.8,13.1,28.1,7.3,5.6,1.7,2.9,4.6,4.6,0.512
1,27,79,40.0,29.7,13.6,3.8,0.5,3.0,0.574,0.0,0.524,18.6,0.283,C,30.6,0.578,0.001,0.495,11.5,24.8,18.3,19.3,0.6,5.3,9.9,31.2,11.7,7.0,6.2,3.5,9.7,9.3,0.174
2,28,72,39.0,20.1,4.8,4.2,2.7,0.7,0.427,0.375,0.864,10.1,0.172,SG,19.9,0.555,0.305,0.374,3.3,10.3,6.9,19.0,3.5,1.2,10.9,23.4,5.7,4.4,3.9,1.4,5.3,5.2,0.091
3,33,82,36.4,11.5,14.1,1.3,0.3,3.3,0.562,0.0,0.708,9.9,0.16,C,19.4,0.621,0.0,0.735,11.2,31.3,21.2,5.4,0.5,5.9,18.7,13.8,5.6,4.3,-0.4,3.2,2.8,3.6,0.091
4,21,66,38.2,22.5,6.3,4.9,1.6,0.9,0.468,0.319,0.821,10.6,0.202,SG,21.7,0.546,0.122,0.341,4.6,12.9,8.8,22.4,2.2,1.7,11.8,26.8,6.1,4.5,3.6,1.7,5.3,4.7,0.033
5,31,82,41.8,24.2,6.5,8.9,1.9,0.2,0.448,0.34,0.735,13.9,0.195,PG,23.6,0.535,0.312,0.254,3.2,13.9,8.5,37.7,2.3,0.4,10.8,26.8,10.5,3.5,6.7,0.1,6.8,7.6,0.033
6,23,81,40.0,22.9,11.8,5.0,1.5,1.6,0.497,0.37,0.765,11.6,0.172,PF,23.6,0.545,0.053,0.265,7.9,26.6,17.1,21.5,1.9,2.8,13.6,27.4,6.1,5.6,3.1,3.0,6.1,6.6,0.017
7,31,76,31.0,13.1,3.7,2.8,1.8,0.5,0.414,0.256,0.71,3.7,0.076,SF,15.2,0.465,0.082,0.267,3.7,9.8,6.7,15.3,3.1,1.2,7.7,21.9,1.6,2.1,-0.4,0.4,0.0,1.2,0.008
8,26,67,39.0,14.3,7.2,10.1,2.0,0.4,0.409,0.337,0.829,8.5,0.156,PG,18.4,0.498,0.194,0.287,4.2,16.1,10.3,40.1,2.6,0.8,19.0,20.0,3.7,4.8,1.7,2.4,4.1,4.1,0.008
9,33,82,38.2,11.6,8.5,4.5,0.9,0.4,0.48,0.0,0.746,8.9,0.136,SF,14.4,0.56,0.002,0.637,5.3,19.4,12.5,18.3,1.2,0.6,15.9,14.4,4.9,3.9,0.0,1.9,1.9,3.1,0.008
